time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,train/clip_range,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/approx_kl,train/clip_fraction,train/entropy_loss,train/explained_variance,train/value_loss,eval/mean_reward,eval/mean_ep_length
54272,12.0,11.77150087,53,126,429,0.2,0.0003,0.03415602073073387,520,-0.002821164164924994,0.009737974,0.0578125,-0.6686575811356306,0.9947732090950012,0.11426078327931463,,
55000,,,,,,0.2,0.0003,0.006485842168331146,530,-0.004193120691343211,0.009432051,0.0611328125,-0.658878211863339,0.9948928356170654,0.1133244874421507,12.101372549999999,12.0
55296,12.0,11.770815430000003,54,129,426,,,,,,,,,,,,
56320,12.0,11.82960003,55,132,424,0.2,0.0003,0.060006964951753616,540,-0.005954723780450877,0.007284146,0.07822265625,-0.6463701138272882,0.9953879117965698,0.10215243133716286,,
57344,12.0,11.992773669999996,56,135,423,0.2,0.0003,0.04113461449742317,550,-0.0012538435985334218,0.0040374584,0.01904296875,-0.6219576677307487,0.995397686958313,0.10355388310272247,,
58368,12.0,11.84835384,57,137,425,0.2,0.0003,0.03762740269303322,560,-0.002553692107903771,0.0053192945,0.03173828125,-0.6203049140051007,0.9951128363609314,0.10879684993997216,,
59392,12.0,11.9295479,58,139,425,0.2,0.0003,0.03276669234037399,570,-0.001763966874568723,0.0032105595,0.01923828125,-0.6254323266446591,0.9953237175941467,0.10460437736473978,,
60000,,,,,,0.2,0.0003,0.03537629917263985,580,-0.00612533552775858,0.00843652,0.0609375,-0.5841225672513246,0.9956430792808533,0.09783301851712167,12.0334456,12.0
60416,12.0,11.85124842,59,141,427,,,,,,,,,,,,
61440,12.0,11.761789720000001,60,143,429,0.2,0.0003,0.08195630460977554,590,-0.00045920623233541846,0.004597885,0.0169921875,-0.5527740797027946,0.9953668713569641,0.10252953248564153,,
62464,12.0,11.831990509999999,61,146,427,0.2,0.0003,0.04638441652059555,600,-0.002411486953496933,0.004167582,0.03232421875,-0.4966038530692458,0.9953053593635559,0.10822855937294662,,
63488,12.0,11.8480277,62,148,428,0.2,0.0003,0.027380933985114098,610,-0.0006813346350099892,0.0030800586,0.033203125,-0.48681446090340613,0.9965678453445435,0.0802868225146085,,
64512,12.0,11.75732886,63,150,428,0.2,0.0003,0.03123493678867817,620,-0.0029292251536389815,0.003840053,0.02451171875,-0.5001284424215555,0.996209442615509,0.08633420569822192,,
65000,,,,,,0.2,0.0003,0.03355802223086357,630,-0.0019138522475259379,0.0025531736,0.01630859375,-0.48520896341651676,0.9959807395935059,0.09292939165607095,11.67402865,12.0
65536,12.0,11.81541233,64,152,429,,,,,,,,,,,,
66560,12.0,11.866207070000003,65,155,429,0.2,0.0003,0.06279054284095764,640,-0.002529803867219016,0.0038653293,0.03662109375,-0.487995295599103,0.9962801933288574,0.0872330742655322,,
67584,12.0,11.82658718,66,156,430,0.2,0.0003,0.032821182161569595,650,-0.0008764518948737532,0.0019014892,0.02177734375,-0.4777913073077798,0.9964151978492737,0.0839578194078058,,
