maturation_qtr,margin_slope,capex_per_store,new_store_density,reached_breakeven,quarters_to_breakeven,aggressive_quarters_to_breakeven,final_margin
2.774764437047533,5.1753864615318507e-05,0.9331008598000811,322.75678131455595,1,6.0,99.0,0.011899941724332213
3.4637023471085406,0.00012123568491548406,1.2803520113571165,429.9734345741581,1,2.75,99.0,0.05
1.1952558894528054,5.6197826831803075e-05,2.0698077444600105,315.34173885521426,1,2.25,6.25,0.029715049659213778
2.8060398666474957,3.169676560268355e-05,1.5341472267181155,414.71758158263856,0,99.0,99.0,-0.0006853505987546686
3.8388309716887257,0.00010007456955260806,1.0286223724510544,497.6857359908271,1,3.75,99.0,0.034251302835016484
1.414476986645428,0.00010020246841685747,2.302584684016491,445.0337019870734,1,1.5,2.25,0.05
1.9878854803763248,0.00013115561359429724,1.084195522131017,433.19880226313774,1,1.5,2.5,0.05
3.308222609644328,7.326055571571506e-05,2.3780308735732136,301.8044613971695,1,4.75,99.0,0.02106353801800846
1.4067619622064038,7.129376397421687e-05,2.1485470229210097,469.9579783506162,1,2.0,4.25,0.041150108430542426
1.1322419076685504,6.217919989919099e-05,1.2658924064058295,487.05055317486335,1,2.0,2.75,0.03555815480773118
3.842765502116682,9.514003070902281e-05,1.6033156463870957,452.2596049180558,1,4.0,99.0,0.030703866348904426
3.9793868410137216,0.00011057977101725583,1.9314911170819737,328.6790078799083,1,3.5,99.0,0.03778454219378244
1.2728401699595469,5.196419523240555e-05,1.7231459910026887,339.680946906801,1,2.75,8.0,0.02549446707755999
3.8581670320420165,0.00010529441919486847,2.1890963249082622,344.29490904912313,1,3.75,99.0,0.03593259729831538
2.359743259834943,8.151030304285325e-05,1.5078692576465382,479.6753784964332,1,3.0,11.75,0.03861190202213145
1.9852800170067162,9.039616545778345e-05,0.9067688362990645,495.03819164748097,1,2.25,3.75,0.05
1.739974321227736,4.463456149225775e-05,2.3939077062109186,381.8711461115714,1,4.5,99.0,0.014851393392489119
3.9220267914387628,6.517140170496843e-05,1.2390329039809336,376.1919303432252,1,6.5,99.0,0.011674659395433988
1.878446248360547,0.0001397380892568198,2.138305344343763,304.60027684757637,1,1.25,2.75,0.05
3.0649775042019023,0.00012086829092914518,1.6891300854814406,329.0527092447469,1,2.5,99.0,0.05
2.929587237969296,9.781162358689252e-05,2.162992595030996,435.68609196124544,1,3.0,99.0,0.04285113521640764
1.4396486697123698,5.92169810510536e-05,2.299969232356671,484.49554230339515,1,2.5,7.5,0.030497330447261838
